claim,count,anti_trump,sentiment,left_leaning,right_leaning
"against Donald Trumpâs immigration policies targeting undocumented immigrants, for the right of students to protest in solidarity with their families, against deportations breaking up hardworking families, for keeping parents and children together regardless of immigration status, against policies that instill fear in Hispanic communities, for recognizing the contributions of immigrants to American society, against government actions that criminalize people seeking a better life, for students standing up for their uncles fathers and friends, against the pain of forced family separations, for young people using their voices to advocate for justice, against ICE orders that disproportionately affect Latino families",2,True,left,True,False
for justice for Cornelius Taylor,2,False,left,True,False
in support of President Trump's immigration policies,2,False,left,True,False
against the Democratic Party's failure to act to mitigate climate change,2,False,left,True,False
for community control over police,2,False,left,True,False
"against forced return-to-office mandates, for remote work flexibility in federal jobs, against buyouts forcing government employees out, for protecting virtual work opportunities in public service, against executive orders eliminating telework, for workplace stability in government agencies, against Trump administration job cuts, for federal employees' rights to job security, against disruptions to Commerce Department employment",2,True,left,True,False
for higher pay for union workers at University of California Los Angeles,2,False,left,True,False
for access to healthcare,2,False,left,True,False
against deportations of immigrants,2,False,left,True,False
against federal immigration raids,2,False,left,True,False
for Women's rights,2,False,left,True,False
against US having ceasefire talks with Russia without Ukraine,2,False,left,True,False
for democracy and human rights in Iran,2,False,left,True,False
against ICE and immigrant deportations,2,False,left,True,False
for community control of police,2,False,left,True,False
against Lockheed Martin's complicity in genocide in Gaza,2,False,left,True,False
"against Trumpâs mass deportations, for students' right to protest policies that harm their families, against ICE raids disrupting communities, for keeping families together, against the fear instilled in undocumented families, for young people standing up for justice, against policies that criminalize immigrants seeking better lives, for student activism in defense of their friends and loved ones, against a system that dehumanizes migrants, for constructive dialogue about immigration policies, against the increased enforcement tearing apart communities",2,True,left,True,False
against Israel's attacks on Kamal Adwan Hospital and all healthcare workers in Gaza,2,False,left,True,False
for access to abortion,2,False,left,True,False
against police brutality and state violence,2,False,left,True,False
for healthcare,2,False,left,True,False
against immigration,2,False,left,True,False
for immigrants rights,2,False,left,True,False
for more funding for social services,2,False,left,True,False
for protections for immigrants,2,False,left,True,False
for equality,2,False,left,True,False
for LGBTQIA rights,2,False,left,True,False
against pro-Palestinian protesters,2,False,left,True,False
against immigrant deportations and family deportations,2,False,left,True,False
against anti-ICE demonstration,2,False,left,True,False
against federal legislation that would facilitate immigrant deportations,2,False,left,True,False
against mass deportations of immigrants,2,False,left,True,False
against police entering the wrong home during operations,1,False,left,True,False
against the lack of answers and justice for Harlessâ family,1,False,left,True,False
for thorough investigations into police shootings,1,False,left,True,False
for ending gun violence in the Bronx,1,False,left,True,False
against police silence and lack of communication with the community,1,False,left,True,False
for justice for Douglas Harless,1,False,left,True,False
against the use of excessive force by police,1,False,left,True,False
against police actions leading to the unnecessary loss of innocent lives,1,False,left,True,False
against Israel's attacks on Kamal Adwan Hospital and other healthcare facilities and healthcare workers in Gaza,1,False,left,True,False
for the defunding of Indiana University,1,False,left,True,False
for the defunding of the Kinsey Institute,1,False,left,True,False
for peaceful protests to raise awareness and demand justice,1,False,left,True,False
for freeing Dr. Hussam Abu Safiya and all abducted Palestinian healthcare workers,1,False,left,True,False
for community unity in addressing police misconduct,1,False,left,True,False
against scholasticide in Gaza,1,False,left,True,False
for public statement by American Historical Association condemning scholasticide in Gaza,1,False,left,True,False
for more city funding for affordable housing and health services,1,False,left,True,False
against proposed funding for new Durham County Sheriff's Office facility,1,False,left,True,False
for justice for Robert Brooks and all lives stolen by police brutality and incarceration,1,False,left,True,False
for expansion of access to healthcare,1,False,left,True,False
against the U.S. news media's complicity in ongoing genocide in Gaza,1,False,left,True,False
against Israel's destruction of healthcare facilities in Gaza,1,False,left,True,False
for passage of city council resolution calling for ceasefire and humanitarian aid in Gaza,1,False,left,True,False
for release of all Palestinian and Israeli hostages and prisoners including doctors and medical workers,1,False,left,True,False
for affordable healthcare,1,False,left,True,False
against Israel's killings of journalists in Gaza,1,False,left,True,False
against racial disparities in criminal justice,1,False,left,True,False
for CARE for Immigrant Families Act,1,False,left,True,False
for passage of state legislation that would stop law enforcement from working with ICE and Border Patrol,1,False,left,True,False
for a new 5 year contract for 700 hospitality workers,1,False,left,True,False
for wage increases for union workers,1,False,left,True,False
for more affordable healthcare for union workers,1,False,left,True,False
for justice for Jebrell Conley and all victims of police brutality,1,False,left,True,False
against cuts to city budgets for essential services,1,False,left,True,False
against rollbacks to police and jail reforms,1,False,left,True,False
against anti-immigrant rhetoric,1,False,left,True,False
for higher pay for New York Police Department sergeants,1,False,left,True,False
for passage of city council resolution in support of Atlantic Mills Tenants Union,1,False,left,True,False
against Congressman Vicente Gonzalez vote in favor of the Laken Riley Act,1,False,left,True,False
against privatization of health insurance benefits for retired municipal workers,1,False,left,True,False
for a fair contract for New Haven Public Schools cafeteria workers,1,False,left,True,False
for protections for state workers,1,False,left,True,False
immigrants are welcome here,1,False,left,True,False
against collaboration between the Chicago Police and Immigration and Customs Enforcement,1,False,left,True,False
against Citibank's complicity in genocide in Gaza,1,False,left,True,False
against Boomerang Design's complicity in design and construction of Cop City police training centers in Charlotte and elsewhere,1,False,left,True,False
for justice and transparency for a Black Allentown City Hall employee who found a noose on her desk,1,False,left,True,False
against Donald Trump's planned deportations of immigrants,1,True,left,True,False
in solidarity with families and children in Gaza,1,False,left,True,False
against climate change,1,False,left,True,False
against increased harassment and racial discrimination of local youth and unhoused people by police,1,False,left,True,False
against Customs and Border Patrol raids on migrant workers,1,False,left,True,False
against immigrant detention and deportations,1,False,left,True,False
against Israel's bombing in Palestine and Lebanon,1,False,left,True,False
for release of Dr. Hussam Abu Safiya and all healthcare workers from Israeli detention,1,False,left,True,False
for police accountability and systemic reform,1,False,left,True,False
for protection of immigrants's rights,1,False,left,True,False
for justice for Derek Rosa,1,False,left,True,False
for economic justice,1,False,left,True,False
for Palestinian liberation and return,1,False,left,True,False
"against the United States sending weapons to Israel, for Palestinian liberation",1,False,left,True,False
in remembrance of Tawfic Abdeljabbar and all Palestinians killed by Israeli forces,1,False,left,True,False
in celebration of Palestinian resistance,1,True,left,True,False
for amplifying the voices of Black women and marginalized communities globally,1,False,left,True,False
in solidarity with oppressed women in Palestine and Congo (DRC) and Sudan and Haiti and beyond,1,False,left,True,False
for justice and liberation for all,1,False,left,True,False
for amplifying intersectional voices,1,False,left,True,False
against the New York Times newspapers' complicity in genocide in Gaza,1,False,left,True,False
for Indigenous peoples' sovereignty,1,False,left,True,False
against trans rights,1,False,left,True,False
for justice for Donnell Rochester,1,False,left,True,False
for reopening investigations into killings by Aurora Police Department officers,1,False,left,True,False
against racist attacks on immigrants,1,False,left,True,False
for divesting the University System of Georgia from partnerships and investments with companies complicit in Israelâs genocide in Gaza,1,False,left,True,False
against the screening of a documentary supporting Palestine,1,False,left,True,False
for single-payer healthcare system,1,False,left,True,False
for state legislation that would ensure comprehensive universal healthcare for all New Yorkers,1,False,left,True,False
for providing abuse-related documents and evidence to the Department of Justice,1,False,left,True,False
for criminal justice reform to prevent violence,1,False,left,True,False
against for-profit healthcare system,1,False,left,True,False
for accountability and transparency in police actions,1,False,left,True,False
against officers striking and tasing a suspect after being subdued,1,False,left,True,False
against state attorney general Rob Bonta's complicity in police brutality,1,False,left,True,False
for abolishing police and prisons,1,False,left,True,False
for returning land to Indigenous peoples,1,False,left,True,False
for restoring abortion rights,1,False,left,True,False
for collective bargaining rights for Amazon and Starbuck's workers,1,False,left,True,False
"for the passing of the New York for All Act, Dignity Not Detention Act, Access to Representation Act, and Clemency Justice Act",1,False,left,True,False
for state legislation to protect immigrants' rights,1,False,left,True,False
for a fair contract for Duluth municipal workers,1,False,left,True,False
for terminating the Consulate General of Israel's lease at Wesleyan Tower office building,1,False,left,True,False
against repression and discrimination towards pro-Palestinian students at City University of New York and in Gaza,1,False,left,True,False
in remembrance of Palestinians killed by Israel's occupation and genocide,1,False,left,True,False
for passage of city council resolution calling for permanent ceasefire in Gaza and restoration of humanitarian aid and release of all hostages and adherence to U.S. and international law,1,False,left,True,False
for fair pay and paid time off for workers at Corner Coin-Op laundromat,1,False,left,True,False
against deportations of migrants on flights from Gary/Chicago International Airport,1,False,left,True,False
against deportations of migrants,1,False,left,True,False
for housing and health care and union jobs for all,1,False,left,True,False
in remembrance of Palestinians killed by Israel,1,False,left,True,False
against attacks on labor unions,1,False,left,True,False
against false promises of prolonged ceasefire,1,False,left,True,False
"for celebrating MLK Day with community engagement, for standing up for social justice and civil rights, for peaceful activism and nonviolent change",1,False,left,True,False
against construction of Cop City police training center,1,False,left,True,False
in solidarity with municipal sanitation workers,1,False,left,True,False
for environmental protections,1,False,left,True,False
for diversity equity and inclusion,1,False,left,True,False
for unrestricted access to Gaza by healthcare workers and journalists,1,False,left,True,False
against union-busting,1,False,left,True,False
against genocide and war,1,False,left,True,False
for justice and inclusion and dignity for all trans people,1,False,left,True,False
against attacks on immigrant workers,1,False,left,True,False
in solidarity with children in Gaza,1,False,left,True,False
against state gun control legislation,1,False,left,True,False
for freeing Dr. Hussam Abu Safiya and other Palestinian healthcare workers detained by Israel,1,False,left,True,False
for announcing that Penn associates and postdocs have reached majority support to unionize,1,False,left,True,False
against dismissive and hostile language used by officers during the arrest,1,False,left,True,False
against President Trump's executive orders to deport immigrants,1,True,left,True,False
against ICE immigration sweeps in the Central Valley,1,False,left,True,False
for equality for all,1,False,left,True,False
for climate activism,1,False,left,True,False
for housing justice,1,False,left,True,False
for legalization for all undocumented immigrants,1,False,left,True,False
for abolishing police,1,False,left,True,False
for justice for Ahmaud Arbery,1,False,left,True,False
against racial bias in the criminal justice system,1,False,left,True,False
against cuts to union jobs and local bus service,1,False,left,True,False
against Tufts University's complicity in genocide in Gaza,1,False,left,True,False
for ending repression of pro-Palestinian voices on campus,1,False,left,True,False
for freeing Ahmad Sa'adat and all Palestinian political prisoners held by Israel,1,False,left,True,False
against the Palestinian Authority's collaboration with Israel,1,False,left,True,False
for democracy and peace,1,False,left,True,False
for workers right to unionize,1,False,left,True,False
against the alleged retaliation of two unionized employyes by the Field Museum,1,False,left,True,False
against Columbia University's repression of pro-Palestine student protest,1,False,left,True,False
for reinstating students suspended for their participation in Columbia's Gaza Solidarity Encampment,1,False,left,True,False
in solidarity with Palestinians following the ceasefire agreement in Gaza,1,False,left,True,False
against Palestinian gencide,1,False,left,True,False
for bold climate action,1,False,left,True,False
against worker oppression,1,False,left,True,False
against pro-Palestine protest,1,False,left,True,False
for deporting undocumented immigrants,1,False,left,True,False
in support of public sector labor unions,1,False,left,True,False
against injustice,1,False,left,True,False
"for Delta workers organizing for a union, against unfair scheduling practices, for job security and fair wages, against Delta's anti-union tactics, for workers' right to collective bargaining, against cuts to full-time schedules, for better health benefits for airline workers",1,False,left,True,False
in support of the immigrant community at Boston University,1,False,left,True,False
against Israel's attacks on healthcare workers and hospitals in Gaza,1,False,left,True,False
for Black and Palestinian solidarity,1,False,left,True,False
against presence of New York Police Department on New York University campus,1,False,left,True,False
against genocide of Black children,1,False,left,True,False
against Wells Fargo Bank's financing for Cop City police training center,1,False,left,True,False
against militarization of police,1,False,left,True,False
against complicity in the occupation of Palestine,1,False,left,True,False
for warning the community about the consequences of Trumps agenda on immigrants and nonimmigrants,1,False,left,True,False
against New York University's punishment of pro-Palestinian student protesters,1,False,left,True,False
in support of public school worker threatened with firing for speaking out against genocide in Gaza,1,False,left,True,False
in support of the immigrant community,1,False,left,True,False
against punishment of pro-Palestinian student protesters,1,False,left,True,False
against racial justice vigil,1,False,left,True,False
for deporting illegal immigrants,1,False,left,True,False
against appropriation of Palestinian cuisine and culture by Israel,1,False,left,True,False
in celebration of victory by Palestinian resistance and release of Palestinian prisoners,1,True,left,True,False
against the news media and film industry's misrepresentations and silencing of Palestinians,1,False,left,True,False
for abortion access,1,False,left,True,False
against the ending of labor and delivery services at Thedacare Medical Center in Waupaca,1,False,left,True,False
for defunding the U.S. military and funding social services,1,False,left,True,False
for Indigenous peoples' liberation,1,False,left,True,False
against U.S. Rep. Chris Pappas' vote for national defense bill that would end medical coverage for trans youth of veterans and active service members,1,False,left,True,False
against U.S. Rep. Chris Pappas' support for genocide in Gaza and imperialist wars in Syria and Yemen,1,False,left,True,False
for healthcare and unemployment insurance for undocumented immigrants,1,False,left,True,False
for a contract entailing better pay better benefits better job security and better protections for international workers,1,False,left,True,False
for indicting U.S. Secretary of State Anthony Blinken for complicity in crimes against humanity in Gaza,1,False,left,True,False
against delays in recognition of graduate student workers' union at University of Rochester,1,False,left,True,False
against the establishment of possible ICE facility in Pflugerville,1,False,left,True,False
against the Florida appeal of in-state tuition rights for undocumented immigrants,1,False,left,True,False
for immigrant protections,1,False,left,True,False
against New Yorkâs two-tier wage system for tipped workers,1,False,left,True,False
for requiring employers to pay a full minimum wage with tips on top,1,False,left,True,False
against a proposed City Council resolution that would allow local police officers to assist federal agents in deporting undocumented migrants,1,False,left,True,False
for justice for school shooting victim Josselin Corea Escalante,1,False,left,True,False
for transparency for Starbucks union employees,1,False,left,True,False
against unfair labor practices for Starbucks employees,1,False,left,True,False
against ICE raids on schools,1,False,left,True,False
against ICE raids and detentions in Philadelphia,1,False,left,True,False
against Donald Trump's agenda while being in office,1,True,left,True,False
against cuts to social services,1,False,left,True,False
against retaliation against teacher Alondra Garcia for providing information about legal services available to families potentially facing deportation,1,False,left,True,False
for protection for transgender people,1,False,left,True,False
against state legislation that would incentivize enforcing federal immigration laws and create criminal penalties for officials who adopt sanctuary policies and require their removal from office upon conviction,1,False,left,True,False
against use of Hind Rajab to advance false claims of genocide in Gaza,1,False,left,True,False
for a fair contract for graduate student workers at University of Iowa,1,False,left,True,False
against Nu-Tech leaders accused retaliatory firings disability discrimination and threats related to unionization efforts,1,False,left,True,False
against Sugar Land City Council resolutions silencing Muslim and pro-peace voices,1,False,left,True,False
for state legislation that would bar state and local law enforcement from cooperating with ICE,1,False,left,True,False
for more state support for legal services for migrants facing deportation,1,False,left,True,False
against Dr. Kandi Deitemeyer's complicity in construction of new police training facility in Charlotte,1,False,left,True,False
for immigrants knowing their rights,1,False,left,True,False
against an Evening for Gaza fundraiser event,1,False,left,True,False
against pro-immigrant rally,1,False,left,True,False
for reproductive justice,1,False,left,True,False
in solidarity with immigrants,1,False,left,True,False
against ICE raids on local workers,1,False,left,True,False
for collective bargaining rights and unionization for restaurant workers,1,False,left,True,False
against union-busting at Rasika restaurant,1,False,left,True,False
for higher pay for campus workers at University of North Carolina,1,False,left,True,False
against immigration bill,1,False,left,True,False
for humanitarian aid in Gaza,1,False,left,True,False
for ending Israel's attacks on Lebanon and Gaza and the West Bank,1,False,left,True,False
in remembrance of lives lost in Gaza,1,False,left,True,False
for continued progress on gun safety in Maryland,1,False,left,True,False
for gun safety,1,False,left,True,False
against Governor Mike Braun's executive order ordering the state to fully cooperate with the federal government's immigration policies,1,False,left,True,False
"for Florida to to stop attacks on courses and content that promote diversity, equity and inclusion",1,False,left,True,False
for holding San Pablo police officer Jonah Norman accountable for hit-and-run incident,1,False,left,True,False
against march for trans rights,1,False,left,True,False
against College Republicans United event at Arizona State University featuring ICE,1,False,left,True,False
for justice for Edward Sholtz and Robert Brooks,1,False,left,True,False
for release of Dr. Hussam Abu Safiya and other Palestinian healthcare workers held by Israel,1,False,left,True,False
against immigrant rights demonstration,1,False,left,True,False
for permanent ceasefire in Palestine,1,False,left,True,False
against the ICE's presence in Ithaca,1,False,left,True,False
in remembrance of Hind Rajab and all victims of genocide in Gaza,1,False,left,True,False
against Israel's attacks on the West Bank and Gaza and Lebanon,1,False,left,True,False
against ICE raids in Inland Empire,1,False,left,True,False
against Textron Aviation's complicity in genocide in Gaza and support for police and border surveillance in the U.S.,1,False,left,True,False
in support of the transgender and LGBTQ+ community,1,False,left,True,False
for community oversight and input on police behavior,1,False,left,True,False
for the University of Northern Texas to protect its immigrants students,1,False,left,True,False
for respecting the dignity and safety of individuals in police custody,1,False,left,True,False
"against dividing school districts based on race and class, for maintaining educational unity, against segregating students by socioeconomic status, for equal access to resources across all schools, against dismantling an inclusive learning environment, for students' rights to voice concerns through peaceful protest, against political decisions that harm educational equity, for ensuring all Keller ISD students receive the same opportunities",1,False,left,True,False
against deportations of immigrant students,1,False,left,True,False
against President Trump's actions in office,1,True,left,True,False
against President Trump's polices,1,True,left,True,False
for maintaining gender-affirming health care for transgender youth at Childrens Hospital LA,1,False,left,True,False
for policies at University of Vermont to protect immigrant and LGBTQ+ students and workers,1,False,left,True,False
"against hate speech in schools, for accountability of school staff, against social media posts that target students, for a welcoming and inclusive school environment, against discrimination against Latino students, for protecting students from harmful rhetoric, against school employees promoting xenophobia, for cultural pride and respect, against burning national symbols as an act of hate",1,False,left,True,False
"against unfair labor practices at Lamell Lumber, for fair wages and improved housing for immigrant workers, against employer retaliation for wage demands, for workplace dignity and safety, against threats of eviction tied to employment, for holding employers accountable to fair labor standards, against unilateral pay cuts imposed on workers, for collective bargaining rights, against workplace intimidation tactics",1,False,left,True,False
"against ICE enforcement in the Santa Maria community, for the protection of immigrant families from deportation, against fear-driven immigration policies that target students and their families, for the right to peacefully protest without intimidation, against the criminalization of undocumented immigrants, for the ability of students to speak up about social justice issues, against policies that separate families and disrupt lives, for a humane approach to immigration enforcement, against the presence of ICE in schools and communities, for the right to education without fear of deportation,",1,False,left,True,False
"against Trumpâs mass deportation plans, for immigrant rights and dignity, against forced family separations, for unity and solidarity among Black and Brown communities, against xenophobia and exclusionary policies, for Tulsa recognizing and embracing its immigrant population, against policies that create fear and instability",1,True,left,True,False
"against mass deportations and fear-driven immigration policies, for immigrant rights and family unity, against the targeting of hardworking migrants and racial profiling, for dignity and respect for all individuals regardless of legal status, against ICE raids that instill fear in communities, for due process and legal protections for immigrants, against the criminalization of migration and asylum-seeking, for comprehensive immigration reform and pathways to citizenship, against policies that separate families and undermine community trust, for recognizing immigrantsâ contributions to the economy and society, against xenophobia and anti-immigrant rhetoric",1,False,left,True,False
for unionization of workers at Amazon RDU1 facility,1,False,left,True,False
against Gov. Mike Braun's executive order mandating law enforcement in Indiana cooperate with ICE agents,1,False,left,True,False
for collective bargaining rights for Utah public sector unions,1,False,left,True,False
against Zionist attacks on pro-Palestine protester,1,False,left,True,False
against the economic and social impacts of increased federal immigration enforcement,1,False,left,True,False
against the ICE's increased presence in Norristown,1,False,left,True,False
against ICE raid and immigrant deportations,1,False,left,True,False
for protections for immigrants in New Jersey,1,False,left,True,False
"against mass deportations, for immigrant rights, against fear-based immigration policies, for protecting undocumented families, against ICE raids in communities",1,False,left,True,False
for supporting the union's ongoing contract campaign,1,False,left,True,False
for strengthening union voices and ensuring their labor is properly recognized,1,False,left,True,False
"against Donald Trumpâs immigration policies, for protecting immigrant families from deportation, against the removal of limitations on ICE arrests in schools, churches, and hospitals, for ensuring children feel safe seeking medical help, against the targeting of nonviolent immigrants, for recognizing the struggles of migrants crossing the desert for a better life, against criminalizing undocumented entry without considering the circumstances, for keeping communities intact and families together",1,True,left,True,False
against Donald Trumpâs immigration policies,1,True,left,True,False
for protecting immigrant families from deportation,1,False,left,True,False
"against ICE deportations separating Hispanic families, for immigrant rights and dignity, against policies that instill fear in immigrant communities, for keeping families together without the threat of deportation, against the criminalization of undocumented immigrants, for the right of students to stand in solidarity with their peers, against government actions that target Hispanic communities, for a humane and just immigration policy, against the silence and inaction that enable discrimination",1,False,left,True,False
against immigration deportations,1,False,left,True,False
against University of Minnesota's stated intention to comply with ICE orders,1,False,left,True,False
"against House Bill 83, for immigrant rights and protections, against unjust deportation policies, for due process and fair treatment of undocumented migrants, against criminalizing immigrant communities, for humane and compassionate immigration laws, against fear-based immigration enforcement",1,False,left,True,False
"against LB 155 which removes the duty to retreat before using deadly force near a vehicle, against the expansion of ""Stand Your Ground"" laws, against LB 687 which bans the state from rejecting contracts with businesses that discriminate against gun dealers or manufacturers, against LB 686 which prohibits police from keeping lists on gun and ammunition ownership, for maintaining common-sense gun safety laws, for protecting children and communities from gun violence, for ensuring law enforcement can track firearm purchases to prevent mass shootings, for the right to own guns with responsible regulations, for keeping schools, theaters, malls, and public spaces safe",1,False,left,True,False
in solidarity with United States immigrants,1,False,left,True,False
for workers rights,1,False,left,True,False
for union rights,1,False,left,True,False
for better working conditions for corrections officers,1,False,left,True,False
against militarization of U.S.-Mexico border,1,False,left,True,False
for continued interfaith advocacy and protection of immigrants,1,False,left,True,False
for the Sonoma County Sheriff to not cooperate with ICE officials looking to arrest undocumented immigrants,1,False,left,True,False
"against proposed medicaid cuts in the Trump administrationâs budget, against work requirements and benefit caps for medicaid recipients, for holding a town hall to discuss potential cuts with constituents, against increasing healthcare costs due to medicaid cuts, for recognizing medicaidâs role in supporting low-income and lower middle-class working individuals, against policies that would shift healthcare costs onto hospitals and private insurers, for maintaining healthcare access for workers in service industries and small businesses",1,False,left,True,False
"against House Bill 176, against discontinuing the WWAMI medical education program, against disrupting Idahoâs physician workforce pipeline, against worsening Idahoâs physician-to-population ratio, against dismantling decades of medical education infrastructure, against hastily building a new medical program without sufficient planning, for preserving and strengthening Idahoâs WWAMI program, for maintaining clinical rotations and clerkships across Idaho, for expanding medical education opportunities within Idaho while keeping existing partnerships, for ensuring continued access to quality healthcare for Idaho residents",1,False,left,True,False
for LGBTQ+,1,False,left,True,False
