Claim,Claim Count,Issue
against Donald Trump; for women's rights; for reproductive rights; for LGBTQ+ rights; for immigrants' rights; for climate action; for fair wages; against gun violence; for freedom,0,Workers
against Donald Trump; for women's rights; for reproductive rights; for LGBTQ+ rights; for immigrants' rights; for climate action; for fair wages; against gun violence; for freedom,0,Immigration
against Donald Trump; for women's rights; for reproductive rights; for LGBTQ+ rights; for immigrants' rights; for climate action; for fair wages; against gun violence; for freedom,0,LGBTplus
against Donald Trump; for women's rights; for reproductive rights; for LGBTQ+ rights; for immigrants' rights; for climate action; for fair wages; against gun violence; for freedom,0,Gun Control
for permanent ceasefire in Gaza and West Bank; for Palestinian liberation,0,Gaza
in remembrance of Tortuguita; against fascism; for environmental justice; for racial justice; for community building; against construction of Cop City police training center; against police brutality,0,Environment
in remembrance of Tortuguita; against fascism; for environmental justice; for racial justice; for community building; against construction of Cop City police training center; against police brutality,0,Racial Justice
against Donald Trump; for women's rights; for reproductive rights; for LGBTQ+ rights; for immigrants' rights; for climate action; for fair wages; against gun violence; for freedom; for Palestinian liberation,0,Environment
against Donald Trump; for women's rights; for reproductive rights; for LGBTQ+ rights; for immigrants' rights; for climate action; for fair wages; against gun violence; for freedom; for Palestinian liberation,0,Gaza
against Donald Trump; for women's rights; for reproductive rights; for LGBTQ+ rights; for immigrants' rights; for climate action; for fair wages; against gun violence; for freedom; for Palestinian liberation,0,Abortion
against Donald Trump; for women's rights; for reproductive rights; for LGBTQ+ rights; for immigrants' rights; for climate action; for fair wages; against gun violence; for freedom; for Palestinian liberation,0,Workers
against Donald Trump; for women's rights; for reproductive rights; for LGBTQ+ rights; for immigrants' rights; for climate action; for fair wages; against gun violence; for freedom; for Palestinian liberation,0,Immigration
against Donald Trump; for women's rights; for reproductive rights; for LGBTQ+ rights; for immigrants' rights; for climate action; for fair wages; against gun violence; for freedom; for Palestinian liberation,0,LGBTplus
against Donald Trump; for women's rights; for reproductive rights; for LGBTQ+ rights; for immigrants' rights; for climate action; for fair wages; against gun violence; for freedom; for Palestinian liberation,0,Gun Control
in commemoration of Martin Luther King Jr. Day; in solidarity with municipal sanitation workers; for collective bargaining rights for Amazon and Starbuck's workers; against war and genocide,0,Workers
against Donald Trump; for women's rights; for reproductive rights; for LGBTQ+ rights; for immigrants' rights; for climate action; for fair wages; against gun violence; for freedom; against sexual violence,0,Immigration
against Donald Trump; for women's rights; for reproductive rights; for LGBTQ+ rights; for immigrants' rights; for climate action; for fair wages; against gun violence; for freedom; against sexual violence,0,Gun Control
against Donald Trump; for women's rights; for reproductive rights; for LGBTQ+ rights; for immigrants' rights; for climate action; for fair wages; against gun violence; for freedom; against sexual violence,0,LGBTplus
against Donald Trump; for women's rights; for reproductive rights; for LGBTQ+ rights; for immigrants' rights; for climate action; for fair wages; against gun violence; for freedom; against sexual violence,0,Environment
against Donald Trump; for women's rights; for reproductive rights; for LGBTQ+ rights; for immigrants' rights; for climate action; for fair wages; against gun violence; for freedom; against sexual violence,0,Abortion
against Donald Trump; for women's rights; for reproductive rights; for LGBTQ+ rights; for immigrants' rights; for climate action; for fair wages; against gun violence; for freedom; against sexual violence,0,Workers
against systemic racism; against police brutality; against inequality; for human rights; for peace; for compassion; for love,0,Racial Justice
for immigrants' rights; for justice and respect for immigrants,0,Immigration
"against Donald Trump; for women's rights; for reproductive rights; for LGBTQ+ rights; for immigrants' rights; for climate action; for fair wages; against gun violence; for freedom, in celebration of MLK day",0,Immigration
"against Donald Trump; for women's rights; for reproductive rights; for LGBTQ+ rights; for immigrants' rights; for climate action; for fair wages; against gun violence; for freedom, in celebration of MLK day",0,Gun Control
"against Donald Trump; for women's rights; for reproductive rights; for LGBTQ+ rights; for immigrants' rights; for climate action; for fair wages; against gun violence; for freedom, in celebration of MLK day",0,LGBTplus
"against Donald Trump; for women's rights; for reproductive rights; for LGBTQ+ rights; for immigrants' rights; for climate action; for fair wages; against gun violence; for freedom, in celebration of MLK day",0,Environment
"against Donald Trump; for women's rights; for reproductive rights; for LGBTQ+ rights; for immigrants' rights; for climate action; for fair wages; against gun violence; for freedom, in celebration of MLK day",0,Abortion
"against Donald Trump; for women's rights; for reproductive rights; for LGBTQ+ rights; for immigrants' rights; for climate action; for fair wages; against gun violence; for freedom, in celebration of MLK day",0,Workers
for abortion rights,2,Abortion
in commemoration of the 1973 Roe v. Wade Supreme Court ruling; for women's rights; for reproductive rights; for LGBTQ+ rights,0,Abortion
in commemoration of the 1973 Roe v. Wade Supreme Court ruling; for women's rights; for reproductive rights; for LGBTQ+ rights,0,LGBTplus
for fair pay and paid time off for workers at Corner Coin-Op laundromat; against wage theft,0,Workers
against Donald Trump; for women's rights; for reproductive rights; for LGBTQ+ rights; for immigrants' rights; for climate action; for fair wages; against gun violence; for restoring expanded federal Child Tax Credit; for freedom; against genocide in Gaza; for Palestinian liberation; against war,0,Immigration
against Donald Trump; for women's rights; for reproductive rights; for LGBTQ+ rights; for immigrants' rights; for climate action; for fair wages; against gun violence; for restoring expanded federal Child Tax Credit; for freedom; against genocide in Gaza; for Palestinian liberation; against war,0,Gun Control
against Donald Trump; for women's rights; for reproductive rights; for LGBTQ+ rights; for immigrants' rights; for climate action; for fair wages; against gun violence; for restoring expanded federal Child Tax Credit; for freedom; against genocide in Gaza; for Palestinian liberation; against war,0,LGBTplus
against Donald Trump; for women's rights; for reproductive rights; for LGBTQ+ rights; for immigrants' rights; for climate action; for fair wages; against gun violence; for restoring expanded federal Child Tax Credit; for freedom; against genocide in Gaza; for Palestinian liberation; against war,0,Environment
against Donald Trump; for women's rights; for reproductive rights; for LGBTQ+ rights; for immigrants' rights; for climate action; for fair wages; against gun violence; for restoring expanded federal Child Tax Credit; for freedom; against genocide in Gaza; for Palestinian liberation; against war,0,Gaza
against Donald Trump; for women's rights; for reproductive rights; for LGBTQ+ rights; for immigrants' rights; for climate action; for fair wages; against gun violence; for restoring expanded federal Child Tax Credit; for freedom; against genocide in Gaza; for Palestinian liberation; against war,0,Abortion
against Donald Trump; for women's rights; for reproductive rights; for LGBTQ+ rights; for immigrants' rights; for climate action; for fair wages; against gun violence; for restoring expanded federal Child Tax Credit; for freedom; against genocide in Gaza; for Palestinian liberation; against war,0,Workers
against deportations of migrants on flights from Gary/Chicago International Airport,1,Immigration
for justice for Jimmy Lopez; against police brutality; for police accountability,0,Racial Justice
against genocide in Gaza; against apartheid in Israel; for Palestinian liberation,0,Gaza
against fascism; against state terrorism; against police brutality,0,Racial Justice
for women's rights; for workers' rights; for abortion rights; for trans rights; for immigrants' rights; for global solidarity; for Palestinian liberation; against genocide; against deportations of migrants; for housing and health care and union jobs for all; for democracy; for people over profit; for ending Act 10,0,Immigration
for women's rights; for workers' rights; for abortion rights; for trans rights; for immigrants' rights; for global solidarity; for Palestinian liberation; against genocide; against deportations of migrants; for housing and health care and union jobs for all; for democracy; for people over profit; for ending Act 10,0,LGBTplus
for women's rights; for workers' rights; for abortion rights; for trans rights; for immigrants' rights; for global solidarity; for Palestinian liberation; against genocide; against deportations of migrants; for housing and health care and union jobs for all; for democracy; for people over profit; for ending Act 10,0,Gaza
for women's rights; for workers' rights; for abortion rights; for trans rights; for immigrants' rights; for global solidarity; for Palestinian liberation; against genocide; against deportations of migrants; for housing and health care and union jobs for all; for democracy; for people over profit; for ending Act 10,0,Abortion
for women's rights; for workers' rights; for abortion rights; for trans rights; for immigrants' rights; for global solidarity; for Palestinian liberation; against genocide; against deportations of migrants; for housing and health care and union jobs for all; for democracy; for people over profit; for ending Act 10,0,Workers
for women's rights; for workers' rights; for abortion rights; for trans rights; for immigrants' rights; for global solidarity; for Palestinian liberation; against genocide; against deportations of migrants; for housing and health care and union jobs for all; for democracy; for people over profit; for ending Act 10,0,Healthcare
against Donald Trump; for women's rights; for reproductive rights; for LGBTQ+ rights; for immigrants' rights; for climate action; for fair wages; against gun violence; for freedom; against Line 5 oil pipeline,0,Immigration
against Donald Trump; for women's rights; for reproductive rights; for LGBTQ+ rights; for immigrants' rights; for climate action; for fair wages; against gun violence; for freedom; against Line 5 oil pipeline,0,Gun Control
against Donald Trump; for women's rights; for reproductive rights; for LGBTQ+ rights; for immigrants' rights; for climate action; for fair wages; against gun violence; for freedom; against Line 5 oil pipeline,0,LGBTplus
against Donald Trump; for women's rights; for reproductive rights; for LGBTQ+ rights; for immigrants' rights; for climate action; for fair wages; against gun violence; for freedom; against Line 5 oil pipeline,0,Environment
against Donald Trump; for women's rights; for reproductive rights; for LGBTQ+ rights; for immigrants' rights; for climate action; for fair wages; against gun violence; for freedom; against Line 5 oil pipeline,0,Abortion
against Donald Trump; for women's rights; for reproductive rights; for LGBTQ+ rights; for immigrants' rights; for climate action; for fair wages; against gun violence; for freedom; against Line 5 oil pipeline,0,Workers
against Donald Trump; for womens rights; for social security; for medicaid; for public education; for environmental protections; for reproductive care; for diversity equity and inclusion,0,Environment
against Donald Trump; for womens rights; for social security; for medicaid; for public education; for environmental protections; for reproductive care; for diversity equity and inclusion,0,Healthcare
against Donald Trump; for women's rights; for reproductive rights; for LGBTQ+ rights; for immigrants' rights; for climate action; for fair wages; against gun violence; for freedom; against genocide in Gaza; for Palestinian liberation; for liberation for all oppressed people,0,Immigration
against Donald Trump; for women's rights; for reproductive rights; for LGBTQ+ rights; for immigrants' rights; for climate action; for fair wages; against gun violence; for freedom; against genocide in Gaza; for Palestinian liberation; for liberation for all oppressed people,0,Gun Control
against Donald Trump; for women's rights; for reproductive rights; for LGBTQ+ rights; for immigrants' rights; for climate action; for fair wages; against gun violence; for freedom; against genocide in Gaza; for Palestinian liberation; for liberation for all oppressed people,0,LGBTplus
against Donald Trump; for women's rights; for reproductive rights; for LGBTQ+ rights; for immigrants' rights; for climate action; for fair wages; against gun violence; for freedom; against genocide in Gaza; for Palestinian liberation; for liberation for all oppressed people,0,Environment
against Donald Trump; for women's rights; for reproductive rights; for LGBTQ+ rights; for immigrants' rights; for climate action; for fair wages; against gun violence; for freedom; against genocide in Gaza; for Palestinian liberation; for liberation for all oppressed people,0,Gaza
against Donald Trump; for women's rights; for reproductive rights; for LGBTQ+ rights; for immigrants' rights; for climate action; for fair wages; against gun violence; for freedom; against genocide in Gaza; for Palestinian liberation; for liberation for all oppressed people,0,Abortion
against Donald Trump; for women's rights; for reproductive rights; for LGBTQ+ rights; for immigrants' rights; for climate action; for fair wages; against gun violence; for freedom; against genocide in Gaza; for Palestinian liberation; for liberation for all oppressed people,0,Workers
for ending offshore wind projects in Massachusetts; for environmental protection,0,Environment
against white supremacy; for Palestinian liberation; for environmental justice; for democracy; for peace,0,Environment
against white supremacy; for Palestinian liberation; for environmental justice; for democracy; for peace,0,Gaza
against Donald Trump; against all forms of oppression; for amplifying the voices of Black women and marginalized communities globally; for immigrant rights; in solidarity with oppressed women in Palestine and Congo (DRC) and Sudan and Haiti and beyond; against racism; against sexism; against classism; against imperialism; for justice and liberation for all,0,Gaza
against Donald Trump; against all forms of oppression; for amplifying the voices of Black women and marginalized communities globally; for immigrant rights; in solidarity with oppressed women in Palestine and Congo (DRC) and Sudan and Haiti and beyond; against racism; against sexism; against classism; against imperialism; for justice and liberation for all,0,Racial Justice
against all forms of oppression; against racism; against sexism; against classism; against imperialism; for global solidarity; for immigration reform; for amplifying intersectional voices; for Palestinian liberation; in solidarity with oppressed people in Sudan and Haiti and Democratic Republic of the Congo; for justice,0,Gaza
against all forms of oppression; against racism; against sexism; against classism; against imperialism; for global solidarity; for immigration reform; for amplifying intersectional voices; for Palestinian liberation; in solidarity with oppressed people in Sudan and Haiti and Democratic Republic of the Congo; for justice,0,Racial Justice
in remembrance of Tortuguita; against construction of police training centers; against police brutality; against racism; for environmental conservation,0,Environment
in remembrance of Tortuguita; against construction of police training centers; against police brutality; against racism; for environmental conservation,0,Racial Justice
against pro-Palestine rally; in solidarity with Israel,0,Gaza
against President Biden's support for Israel; against the New York Times newspapers' complicity in genocide in Gaza; against Zionism and settler colonialism; for Palestinian liberation,0,Gaza
in commemoration of Martin Luther King Jr. Day; against racism; for civil rights; for Palestinian liberation,0,Gaza
in commemoration of Martin Luther King Jr. Day; against racism; for civil rights; for Palestinian liberation,0,Racial Justice
against L3Harris; in solidarity with Palestinian birdwatchers; in support of the Boycott Divest Sanction movement against Israel; against weapons manufacturing; for Palestinian liberation,0,Gaza
against Donald Trump; for women's rights; for reproductive rights; for LGBTQ+ rights; for immigrants' rights; for climate action; for fair wages; against gun violence; for restoring expanded federal Child Tax Credit; for freedom,0,Environment
against Donald Trump; for women's rights; for reproductive rights; for LGBTQ+ rights; for immigrants' rights; for climate action; for fair wages; against gun violence; for restoring expanded federal Child Tax Credit; for freedom,0,Abortion
against Donald Trump; for women's rights; for reproductive rights; for LGBTQ+ rights; for immigrants' rights; for climate action; for fair wages; against gun violence; for restoring expanded federal Child Tax Credit; for freedom,0,Workers
against Donald Trump; for women's rights; for reproductive rights; for LGBTQ+ rights; for immigrants' rights; for climate action; for fair wages; against gun violence; for restoring expanded federal Child Tax Credit; for freedom,0,Immigration
against Donald Trump; for women's rights; for reproductive rights; for LGBTQ+ rights; for immigrants' rights; for climate action; for fair wages; against gun violence; for restoring expanded federal Child Tax Credit; for freedom,0,LGBTplus
against Donald Trump; for women's rights; for reproductive rights; for LGBTQ+ rights; for immigrants' rights; for climate action; for fair wages; against gun violence; for restoring expanded federal Child Tax Credit; for freedom,0,Gun Control
against Donald Trump; for women's rights; for reproductive rights; for LGBTQ+ rights; for immigrants' rights; for climate action; for fair wages; against gun violence; for freedom; against capitalism; for Indigenous peoples' sovereignty; against police brutality; for Black liberation; for trans liberation; for Palestinian liberation,0,Environment
against Donald Trump; for women's rights; for reproductive rights; for LGBTQ+ rights; for immigrants' rights; for climate action; for fair wages; against gun violence; for freedom; against capitalism; for Indigenous peoples' sovereignty; against police brutality; for Black liberation; for trans liberation; for Palestinian liberation,0,Gaza
against Donald Trump; for women's rights; for reproductive rights; for LGBTQ+ rights; for immigrants' rights; for climate action; for fair wages; against gun violence; for freedom; against capitalism; for Indigenous peoples' sovereignty; against police brutality; for Black liberation; for trans liberation; for Palestinian liberation,0,Abortion
against Donald Trump; for women's rights; for reproductive rights; for LGBTQ+ rights; for immigrants' rights; for climate action; for fair wages; against gun violence; for freedom; against capitalism; for Indigenous peoples' sovereignty; against police brutality; for Black liberation; for trans liberation; for Palestinian liberation,0,Racial Justice
against Donald Trump; for women's rights; for reproductive rights; for LGBTQ+ rights; for immigrants' rights; for climate action; for fair wages; against gun violence; for freedom; against capitalism; for Indigenous peoples' sovereignty; against police brutality; for Black liberation; for trans liberation; for Palestinian liberation,0,Workers
against Donald Trump; for women's rights; for reproductive rights; for LGBTQ+ rights; for immigrants' rights; for climate action; for fair wages; against gun violence; for freedom; against capitalism; for Indigenous peoples' sovereignty; against police brutality; for Black liberation; for trans liberation; for Palestinian liberation,0,Immigration
against Donald Trump; for women's rights; for reproductive rights; for LGBTQ+ rights; for immigrants' rights; for climate action; for fair wages; against gun violence; for freedom; against capitalism; for Indigenous peoples' sovereignty; against police brutality; for Black liberation; for trans liberation; for Palestinian liberation,0,LGBTplus
against Donald Trump; for women's rights; for reproductive rights; for LGBTQ+ rights; for immigrants' rights; for climate action; for fair wages; against gun violence; for freedom; against capitalism; for Indigenous peoples' sovereignty; against police brutality; for Black liberation; for trans liberation; for Palestinian liberation,0,Gun Control
against the suffering of families and children in Gaza; for permanent ceasefire in Gaza; for lifting Israel's siege on Gaza; for ending Israel's occupation of Palestine; Palestinian liberation,0,Gaza
against L3Harris and other weapons manufacturers; against genocide in Gaza; for Palestinian liberation,0,Gaza
against Donald Trump's agenda; for workers' rights; for immigrant rights; for environmental justice; against genocide in Gaza; for Palestinian liberation; against militarism and imperialism; against capitalism,0,Environment
against Donald Trump's agenda; for workers' rights; for immigrant rights; for environmental justice; against genocide in Gaza; for Palestinian liberation; against militarism and imperialism; against capitalism,0,Gaza
against Donald Trump's agenda; for workers' rights; for immigrant rights; for environmental justice; against genocide in Gaza; for Palestinian liberation; against militarism and imperialism; against capitalism,0,Workers
against Donald Trump's agenda; for workers' rights; for immigrant rights; for environmental justice; against genocide in Gaza; for Palestinian liberation; against militarism and imperialism; against capitalism,0,Immigration
for women's rights; for LGBTQ+ rights; for human rights,0,Abortion
for women's rights; for LGBTQ+ rights; for human rights,0,LGBTplus
for peace and justice in Gaza and everywhere; for Palestinian liberation,0,Gaza
for racial justice; against police brutality,0,Racial Justice
against Donald Trump; for women's rights; for reproductive rights; for LGBTQ+ rights; for immigrants' rights; for climate action; for fair wages; against gun violence; for freedom; against racism; against police brutality; for Indigenous peoples' rights,0,Gun Control
against Donald Trump; for women's rights; for reproductive rights; for LGBTQ+ rights; for immigrants' rights; for climate action; for fair wages; against gun violence; for freedom; against racism; against police brutality; for Indigenous peoples' rights,0,LGBTplus
against Donald Trump; for women's rights; for reproductive rights; for LGBTQ+ rights; for immigrants' rights; for climate action; for fair wages; against gun violence; for freedom; against racism; against police brutality; for Indigenous peoples' rights,0,Environment
against Donald Trump; for women's rights; for reproductive rights; for LGBTQ+ rights; for immigrants' rights; for climate action; for fair wages; against gun violence; for freedom; against racism; against police brutality; for Indigenous peoples' rights,0,Abortion
against Donald Trump; for women's rights; for reproductive rights; for LGBTQ+ rights; for immigrants' rights; for climate action; for fair wages; against gun violence; for freedom; against racism; against police brutality; for Indigenous peoples' rights,0,Racial Justice
against Donald Trump; for women's rights; for reproductive rights; for LGBTQ+ rights; for immigrants' rights; for climate action; for fair wages; against gun violence; for freedom; against racism; against police brutality; for Indigenous peoples' rights,0,Workers
in support of Donald Trump; against trans rights,0,LGBTplus
against Donald Trump; for women's rights; for reproductive rights; for LGBTQ+ rights; for immigrants' rights; for climate action; for fair wages; against gun violence; for freedom; for Indigenous peoples' rights,0,Environment
against Donald Trump; for women's rights; for reproductive rights; for LGBTQ+ rights; for immigrants' rights; for climate action; for fair wages; against gun violence; for freedom; for Indigenous peoples' rights,0,Abortion
against Donald Trump; for women's rights; for reproductive rights; for LGBTQ+ rights; for immigrants' rights; for climate action; for fair wages; against gun violence; for freedom; for Indigenous peoples' rights,0,Workers
against Donald Trump; for women's rights; for reproductive rights; for LGBTQ+ rights; for immigrants' rights; for climate action; for fair wages; against gun violence; for freedom; for Indigenous peoples' rights,0,Immigration
against Donald Trump; for women's rights; for reproductive rights; for LGBTQ+ rights; for immigrants' rights; for climate action; for fair wages; against gun violence; for freedom; for Indigenous peoples' rights,0,LGBTplus
against Donald Trump; for women's rights; for reproductive rights; for LGBTQ+ rights; for immigrants' rights; for climate action; for fair wages; against gun violence; for freedom; for Indigenous peoples' rights,0,Gun Control
against Donald Trump; for women's rights; for reproductive rights; for LGBTQ+ rights; for immigrants' rights; for climate action; for fair wages; against gun violence; for freedom; for DC statehood,0,Environment
against Donald Trump; for women's rights; for reproductive rights; for LGBTQ+ rights; for immigrants' rights; for climate action; for fair wages; against gun violence; for freedom; for DC statehood,0,Abortion
against Donald Trump; for women's rights; for reproductive rights; for LGBTQ+ rights; for immigrants' rights; for climate action; for fair wages; against gun violence; for freedom; for DC statehood,0,Workers
against Donald Trump; for women's rights; for reproductive rights; for LGBTQ+ rights; for immigrants' rights; for climate action; for fair wages; against gun violence; for freedom; for DC statehood,0,Immigration
against Donald Trump; for women's rights; for reproductive rights; for LGBTQ+ rights; for immigrants' rights; for climate action; for fair wages; against gun violence; for freedom; for DC statehood,0,LGBTplus
against Donald Trump; for women's rights; for reproductive rights; for LGBTQ+ rights; for immigrants' rights; for climate action; for fair wages; against gun violence; for freedom; for DC statehood,0,Gun Control
against event featuring Israel Defense Forces soldier Shahar Dekel; against genocide in Gaza; for Palestinian liberation,0,Gaza
for permanent ceasefire in Gaza; against U.S. military aid to Israel; for Palestinian liberation,0,Gaza
against Donald Trump; for women's rights; for reproductive rights; for LGBTQ+ rights; for immigrants' rights; for climate action; for fair wages; against gun violence; for restoring expanded federal Child Tax Credit; for freedom; for decarceration,0,Environment
against Donald Trump; for women's rights; for reproductive rights; for LGBTQ+ rights; for immigrants' rights; for climate action; for fair wages; against gun violence; for restoring expanded federal Child Tax Credit; for freedom; for decarceration,0,Abortion
against Donald Trump; for women's rights; for reproductive rights; for LGBTQ+ rights; for immigrants' rights; for climate action; for fair wages; against gun violence; for restoring expanded federal Child Tax Credit; for freedom; for decarceration,0,Workers
