Claim,Claim Count,Issues
"against forced return-to-office mandates, for remote work flexibility in federal jobs, against buyouts forcing government employees out, for protecting virtual work opportunities in public service, against executive orders eliminating telework, for workplace stability in government agencies, against Trump administration job cuts, for federal employees' rights to job security, against disruptions to Commerce Department employment",2,Trump
for compassionate immigration reform,2,Immigration
for equality,2,
for womens rights,2,Musk/DOGE
against immigrant deportations and family deportations,2,Immigration
for immigrants rights,2,Immigration
in support of activist Thairie Ritchie who self-immolated at the Black Lives Matter mural in Santa Cruz on Jan. 20,1,Racial Justice
in solidarity with immigrants,1,Immigration
in solidarity with United States immigrants,1,Immigration
"against Elon MuskÃÂ¢ÃÂÃÂs influence in U.S. government, for transparency in federal leadership, against the elimination of USAID, for humanitarian aid and global credibility, against the misuse of sensitive government data, for congressional oversight on government agencies, against mass layoffs and federal worker buyouts, for protecting jobs and economic stability, against corporate control of government operations",1,"LGBTplus, Musk/DOGE, Workers"
for warning the community about the consequences of Trumps agenda on immigrants and nonimmigrants,1,Immigration
"against hate speech in schools, for accountability of school staff, against social media posts that target students, for a welcoming and inclusive school environment, against discrimination against Latino students, for protecting students from harmful rhetoric, against school employees promoting xenophobia, for cultural pride and respect, against burning national symbols as an act of hate",1,Environment
"against Elon Musk's involvement in the White House, against the new Department of Government Efficiency",1,Musk/DOGE
"against Idaho State University's decision to eliminate several diversity, equity and inclusion programs",1,
for increased wages and shift availability for fast food workers,1,Workers
"against federal layoffs at Haskell Indian Nations University, against the hiring freeze preventing faculty replacements, against the Bureau of Indian EducationÃÂ¢ÃÂÃÂs restrictions on university leadership, against broken promises of job security for recently hired faculty, against barriers to volunteer support due to federal background check requirements, for federal recognition of treaty obligations to Indigenous education, for reemployment of terminated staff, for community-driven support solutions, for state and congressional representatives to intervene, for continued funding of Haskell Light and local food banks to aid affected employees and students",1,
against Trump administration,1,Trump
for gender-affirming health care for transgender children,1,"Healthcare, LGBTplus"
"against TrumpÃÂ¢ÃÂÃÂs mass deportation plans, for immigrant rights and dignity, against forced family separations, for unity and solidarity among Black and Brown communities, against xenophobia and exclusionary policies, for Tulsa recognizing and embracing its immigrant population, against policies that create fear and instability",1,Immigration
against Donald Trump's policies,1,Trump
"against federal intervention in D.C. governance, for D.C. autonomy and self-determination, against Trump's executive order to ""beautify"" the city, for community-led solutions to crime and homelessness, against forced removals of homeless camps, for local leadership addressing public safety concerns, against the Trump administration's lack of engagement with D.C. communities, for unity in addressing crime and violence, against outsider narratives dictating D.C.'s future, for preserving the city's unique culture and resident-led policies",1,Musk/DOGE
"against ICE enforcement in the Santa Maria community, for the protection of immigrant families from deportation, against fear-driven immigration policies that target students and their families, for the right to peacefully protest without intimidation, against the criminalization of undocumented immigrants, for the ability of students to speak up about social justice issues, against policies that separate families and disrupt lives, for a humane approach to immigration enforcement, against the presence of ICE in schools and communities, for the right to education without fear of deportation,",1,Immigration
against President Trump's job cuts that threaten critical scientific research fisheries sustaniability and the livelihood of costal communities,1,Trump
against Trump's executive orders aimed at increasing deportations and tightening border security,1,Immigration
against Donald Trump's cuts to academic research funding,1,Trump
"against unfair labor conditions at Kaiser Permanente, for increased staffing to improve patient care, against excessive appointment wait times for mental health services, for equitable wages and benefits for Southern California mental health workers, against Kaiser's alleged understaffing that strains workers and patients, for equal retirement benefits for mental health workers, against Kaiser's refusal to negotiate until March, for fair labor practices and contract negotiations",1,Workers
"against TrumpÃÂ¢ÃÂÃÂs immigration policies, for standing up for immigrant families, against mass deportations, for keeping families together, against the fear and uncertainty facing undocumented students, for students using their voices to demand justice, against the dehumanization of immigrants, for recognizing the humanity of all people, against school staff attempting to suppress student activism, for the right to protest peacefully",1,Immigration
"against dividing school districts based on race and class, for maintaining educational unity, against segregating students by socioeconomic status, for equal access to resources across all schools, against dismantling an inclusive learning environment, for students' rights to voice concerns through peaceful protest, against political decisions that harm educational equity, for ensuring all Keller ISD students receive the same opportunities",1,Environment
for gun safety,1,Gun Control
against President Trump's adminstrations efforts to dismantle the U.S. Department of Education,1,Trump
in support of the immigrant community,1,Immigration
"for engaging students in the BYUSA election process, for making informed voting decisions, for candidates fostering genuine connections with students, for showcasing student talent and campus involvement, for promoting service initiatives within the election campaign, for creating inclusive and welcoming campaign events, for encouraging student participation in campus leadership, for providing interactive and entertaining campaign experiences, for emphasizing the values of BYUSA through community engagement, for fostering a sense of fun and friendship within student government",1,
"for Delta workers organizing for a union, against unfair scheduling practices, for job security and fair wages, against Delta's anti-union tactics, for workers' right to collective bargaining, against cuts to full-time schedules, for better health benefits for airline workers",1,Workers
"for discussing the history and impact of african-american protest music, for analyzing the symbolism in kendrick lamarÃÂ¢ÃÂÃÂs super bowl performance, against performative activism that does not result in tangible change, against the nflÃÂ¢ÃÂÃÂs removal of the ÃÂ¢ÃÂÃÂend racismÃÂ¢ÃÂÃÂ message from the field, for fostering solidarity among marginalized communities in response to recent policies, for creating open spaces where students can discuss social justice without fear, for breaking down power dynamics between professors and students in discussions on race and activism",1,Racial Justice
against Musk,1,Musk/DOGE
"against VA workforce cuts, for protecting veterans' healthcare access, against understaffing at VA medical centers, for job security for civil service workers, against layoffs impacting patient care, for prioritizing veterans' well-being over cost-saving measures, against rushed efficiency plans that hurt healthcare, for transparency in VA budget allocation, against delays in veterans' medical treatment, for congressional oversight of government efficiency initiatives, against corporate involvement in public healthcare decisions, for maintaining timely access to primary care physicians, against bureaucratic chaos affecting veterans' services, for fair labor practices in the federal workforce, against unjust terminations of VA employees, for accountability from the Department of Government Efficiency, against privatization of VA healthcare",1,"Healthcare, LGBTplus, Workers"
"for higher wages for university of iowa health care workers, for better working conditions, including improvements to older and unsafe units, for increased respect and appreciation for staff who feel undervalued, against hiring temporary travel nurses at high costs instead of investing in permanent staff, for meaningful wage increases, citing a long period without substantial raises, for better physical and mental working conditions for healthcare workers, for university and regents representatives to acknowledge and act on workers' concerns, for a contract that improves conditions for workers, patients, and families",1,"Healthcare, Workers"
"against House Bill 83, for immigrant rights and protections, against unjust deportation policies, for due process and fair treatment of undocumented migrants, against criminalizing immigrant communities, for humane and compassionate immigration laws, against fear-based immigration enforcement",1,Immigration
"against mass layoffs of federal employees, for job security in public service, against Elon Musk's role in government affairs, for congressional accountability over executive actions, against cuts to USAID and foreign aid programs, for transparency in government restructuring, against undermining constitutional democracy, for the protection of democratic institutions, against forced buyouts and arbitrary dismissals of civil servants, for responsible governance that upholds the rule of law, against Trump and Musk consolidating power, for ethical oversight of federal decision-making, against using DEI as a scapegoat for unrelated tragedies",1,"LGBTplus, Musk/DOGE"
"against ICE raids that create fear in immigrant communities, for student activism in support of immigrant rights, against policies that target and disrupt immigrant families, for local communities standing together in solidarity, against federal enforcement actions that instill fear in schools and neighborhoods, for policies that ensure all students feel safe in their schools, against deportations that separate families, for advocating humane immigration policies",1,Immigration
"against U.S. involvement in IsraelÃÂ¢ÃÂÃÂs actions in Gaza, for Palestinian self-determination, against TrumpÃÂ¢ÃÂÃÂs plan to take over Gaza, for honoring the ceasefire agreement, against leveraging foreign aid to pressure Jordan and Egypt, for stopping the ethnic cleansing of Palestinians, against continued attacks on displaced Palestinians, for recognizing GazaÃÂ¢ÃÂÃÂs history and the right of Palestinians to remain on their land, against destruction of Palestinian infrastructure and homes",1,Gaza
against proposed cuts to Medicaid and social services,1,Healthcare
for Gov. Kathy Hochul to remove Mayor Eric Adams from office,1,
"against local police acting as federal immigration agents, for public safety policies that build trust with immigrant communities, against policies that lead to fear and decreased crime reporting, for maintaining clear distinctions between civil and criminal law enforcement roles, against using county resources for federal immigration enforcement, for ensuring all residents feel safe accessing community services, against measures that discourage school attendance and social participation, for passing state laws that protect immigrant communities, against political stunts that harm public confidence in law enforcement, for policies that respect and honor immigrant contributions",1,Immigration
in solidarity with missing and murdered Indigenous relatives and women,1,
against the Florida appeal of in-state tuition rights for undocumented immigrants,1,Immigration
against layoffs at U.S. Environmental Protection Agency's Midwest office,1,Environment
"for fair pay for graduate student workers, for fair unionization process",1,Workers
"for fair contracts for federal workers unions, including postal workers and veterans affairs workers",1,Workers
against the Trump Administration's abuse of power,1,Trump
against cuts to USAID,1,Musk/DOGE
against layoffs of U.S. Forest Service and National Park Service employees,1,
for higher pay for campus workers at University of North Carolina,1,Workers
"against federal worker buyouts, for job security in public service, against mass terminations of government employees, for protecting labor rights in federal agencies, against Trump's executive order on worker dismissals, for AFGE's fight to protect government jobs, against dismantling of federal workforce, for solidarity among unions defending public employees, against cuts to essential government services, for fair treatment of probationary federal workers",1,Workers
against the Trump administration's federal spending cuts,1,Trump
"against ICE presence in immigrant communities, for protecting immigrant rights and safety, against immigration raids that create fear and division, for standing in solidarity with immigrant communities, against federal immigration enforcement disrupting local communities, for students using their voices to oppose deportations, against policies that target and intimidate immigrant families, for ensuring all residents feel safe regardless of immigration status, against actions that create fear in schools and neighborhoods, for a community that welcomes and supports immigrants",1,Immigration
against dozens of city union worker layoffs,1,Workers
against deportations of immigrant students from University of Wisconsin Milwaukee,1,Immigration
for national school choice week,1,
against Elon Musk's involvement in the federal government,1,Musk/DOGE
"for reproductive rights and gender-affirming care, against government overreach into healthcare decisions, for protections and dignity for LGBTQ+ individuals, against transphobic executive orders and rollbacks of civil rights, for bodily autonomy and the right to make personal medical decisions, against discrimination in education, sports, and public spaces, for inclusive and supportive communities for trans and nonbinary youth, against policies that increase mental health struggles and suicide risk among marginalized groups",1,"Abortion, Healthcare, LGBTplus"
"against Nick LaLotaÃÂ¢ÃÂÃÂs refusal to hold an in-person town hall, against LaLotaÃÂ¢ÃÂÃÂs dismissal of constituent concerns as scripted, against federal cuts to Long Island healthcare and education, against freezing of funds to the Northport VA and Long Island research institutions, against cuts to the Department of Education affecting disadvantaged and disabled children, for LaLota taking action to protect Medicaid for 715,000 people in the district, for ensuring funding for schools, hospitals, and public services, for political accountability and representation of constituent needs",1,Healthcare
"for fair wages for concierges, porters, and residential workers, arguing they are paid poverty wages despite maintaining luxury buildings, for affordable health benefits for building workers, citing unaffordable current plans, for allowing workers to earn enough to live in the city they serve, as jersey city has the second-highest rental prices in the u.s., against landlords charging high rent and excessive fees while underpaying essential workers, against the 380 housing code violations found at journal squared, including life safety threats, for stronger tenant protections against unfair rental fees and poor housing conditions, for greater accountability from luxury landlords like kre group to improve working and living conditions, for city and state officials supporting workers' rights, wages, and tenant protections",1,Workers
for restroring abortion rights in Kentucky,1,Abortion
against the ending of labor and delivery services at Thedacare Medical Center in Waupaca,1,Workers
"for justice and accountability for the nurse attacked at Palms West Hospital, for increased safety measures and protections for healthcare workers, for community solidarity and support for the victim and her family, for greater awareness of violence against nurses and hospital staff, against workplace violence in healthcare settings, against inadequate security measures for medical personnel",1,"Healthcare, Workers"
against state and federal actions targeting LGBTQ+ people,1,LGBTplus
in support of LGBTQ+ New Yorkers,1,LGBTplus
"against Donald TrumpÃÂ¢ÃÂÃÂs immigration policies, against Ron DeSantis' immigration policies, for supporting immigrant families, against ICE raids instilling fear in communities, for recognizing immigrants' contributions to local businesses, against labeling immigrants as criminals, for allowing immigrant families to live without fear",1,Immigration
"against ICE presence on campus, for canceling ICE recruitment events, against university complicity with immigration enforcement, for protecting immigrant students and workers, against the university hosting DHS and ICE-affiliated agencies, for a formal apology from the administration",1,"Immigration, Workers"
"against ICE deportations separating Hispanic families, for immigrant rights and dignity, against policies that instill fear in immigrant communities, for keeping families together without the threat of deportation, against the criminalization of undocumented immigrants, for the right of students to stand in solidarity with their peers, against government actions that target Hispanic communities, for a humane and just immigration policy, against the silence and inaction that enable discrimination",1,Immigration
for safety for immigrant students and their families,1,Immigration
"against ICE enforcement at hospitals, schools, and places of worship, for protecting immigrant access to essential services, against fear-driven policies targeting immigrant communities, for maintaining public safety and trust in institutions, against TrumpÃÂ¢ÃÂÃÂs rollback of sensitive location protections, for the passage of the Protecting Sensitive Locations Act, against intimidation that deters parents from sending children to school, for religious liberty and the sanctity of faith-based spaces",1,Immigration
for saving democracy from tyranny and Oligarchy,1,
"against Donald TrumpÃÂ¢ÃÂÃÂs immigration policies, for protecting immigrant families from deportation, against the removal of limitations on ICE arrests in schools, churches, and hospitals, for ensuring children feel safe seeking medical help, against the targeting of nonviolent immigrants, for recognizing the struggles of migrants crossing the desert for a better life, against criminalizing undocumented entry without considering the circumstances, for keeping communities intact and families together",1,Immigration
"against the planned trash truck refueling station, for preserving neighborhood quality of life, against increased traffic and pollution in residential areas, for homes and green spaces over industrial expansion, against FCC EnvironmentalÃÂ¢ÃÂÃÂs facility in West Seventh, for alternative locations for waste management operations, against zoning decisions made without community input, for a thorough zoning study and public hearing, against St. PaulÃÂ¢ÃÂÃÂs fast-tracking of the facility",1,Environment
for maintaining gender-affirming health care for transgender youth at Childrens Hospital LA,1,"Healthcare, LGBTplus"
"against UC Santa Cruz protest restrictions, against ban on masks while protesting, against uc ban on encampments, against unclear time place and manner restrictions, for free speech rights on university property, against ucsc police interference in protests, against arrests of students for protest activities, against prohibition of banners as structures, for faculty and student petition to end restrictions, for bargaining over protest restrictions, against crackdown on workers' and students' right to protest",1,Workers
"against the HALT ActÃÂ¢ÃÂÃÂs limits on segregated confinement, for reversing prison reforms that allegedly endanger correction officers, for addressing staffing shortages in prisons, against mandatory 24-hour work shifts for correction officers, for Governor Hochul using emergency powers to suspend HALT temporarily, for improving safety conditions for both officers and incarcerated individuals, against poor working conditions and dangerous guard-to-inmate ratios, for better resources and staffing in state prisons, against violent assaults on correction officers, against inadequate medical care and commissary access for incarcerated individuals during the strike",1,Workers
"against mass deportations and fear-driven immigration policies, for immigrant rights and family unity, against the targeting of hardworking migrants and racial profiling, for dignity and respect for all individuals regardless of legal status, against ICE raids that instill fear in communities, for due process and legal protections for immigrants, against the criminalization of migration and asylum-seeking, for comprehensive immigration reform and pathways to citizenship, against policies that separate families and undermine community trust, for recognizing immigrantsÃÂ¢ÃÂÃÂ contributions to the economy and society, against xenophobia and anti-immigrant rhetoric",1,Immigration
for The Green New Deal for Colorado Schools and climate-related bills,1,Environment
Against the Trump administration's policies,1,Trump
"against LB 155 which removes the duty to retreat before using deadly force near a vehicle, against the expansion of ""Stand Your Ground"" laws, against LB 687 which bans the state from rejecting contracts with businesses that discriminate against gun dealers or manufacturers, against LB 686 which prohibits police from keeping lists on gun and ammunition ownership, for maintaining common-sense gun safety laws, for protecting children and communities from gun violence, for ensuring law enforcement can track firearm purchases to prevent mass shootings, for the right to own guns with responsible regulations, for keeping schools, theaters, malls, and public spaces safe",1,Gun Control
in commemoration of Martin Luther King Jr.,1,
"against House Bill 176, against discontinuing the WWAMI medical education program, against disrupting IdahoÃÂ¢ÃÂÃÂs physician workforce pipeline, against worsening IdahoÃÂ¢ÃÂÃÂs physician-to-population ratio, against dismantling decades of medical education infrastructure, against hastily building a new medical program without sufficient planning, for preserving and strengthening IdahoÃÂ¢ÃÂÃÂs WWAMI program, for maintaining clinical rotations and clerkships across Idaho, for expanding medical education opportunities within Idaho while keeping existing partnerships, for ensuring continued access to quality healthcare for Idaho residents",1,Healthcare
against the Trump administration and Elon Musk's attempts to downsize and restructure the federal government,1,Musk/DOGE
"against unfair labor practices at Lamell Lumber, for fair wages and improved housing for immigrant workers, against employer retaliation for wage demands, for workplace dignity and safety, against threats of eviction tied to employment, for holding employers accountable to fair labor standards, against unilateral pay cuts imposed on workers, for collective bargaining rights, against workplace intimidation tactics",1,"Immigration, Workers"
against Donald Trump's inauguration as U.S. president,1,Trump
against possible plans by the Trump adminstration to privatize postal service,1,Trump
against President Trump and Elon Musk's attacks on U.S. agencies and administrative capacity,1,Musk/DOGE
for the Sonoma County Sheriff to not cooperate with ICE officials looking to arrest undocumented immigrants,1,Immigration
"against proposed medicaid cuts in the Trump administrationÃÂ¢ÃÂÃÂs budget, against work requirements and benefit caps for medicaid recipients, for holding a town hall to discuss potential cuts with constituents, against increasing healthcare costs due to medicaid cuts, for recognizing medicaidÃÂ¢ÃÂÃÂs role in supporting low-income and lower middle-class working individuals, against policies that would shift healthcare costs onto hospitals and private insurers, for maintaining healthcare access for workers in service industries and small businesses",1,"Healthcare, Workers"
"against widespread federal employee terminations, against unexpected firings without justification, against layoffs affecting public service workers, against termination of experienced federal employees, against loss of consumer protection attorneys, against negative impact on local economies, for appealing illegal firings, for speaking to lawmakers for support, for rallying federal employees to fight job cuts, against va layoffs affecting veterans' care, for urging congress to intervene, for organizing future protests",1,Workers
against ICE raids and mass deportations,1,Immigration
against federal aid cuts; against federal layoffs; for veteran care,0,
in commemoration of international women's day; for womens rights; for reproductive rights; for LGBTQ rights; against Trump's policies,0,"Abortion, LGBTplus"
against Elon Musk; against the Trump administration; for democrats to do more to fight the Trump administration,0,Musk/DOGE
against President Trump's mass deportations of immigrants; for immigrant rights,0,Immigration
for palestinian liberation,0,Gaza
against elon musk; against DOGE; against government worker layoffs; against funding cuts,0,"Musk/DOGE, Workers"
against immigrant deportations; against the proposed North Carolina Border Protection Act (Senate Bill 153); against North Carolina cooperating with US Customs and Immigration Enforcement,0,Immigration
against President Trump's mass layoffs of Veterans Affairs employees; for assistance for veterans,0,Trump
for women's rights; against President Trump; for palestinian liberation; for reproductive rights,0,"Abortion, Gaza"
against President Trump's recent mass firings off federal employees; against Trump's cuts to social services; for democracy,0,"Musk/DOGE, Trump"
against the trump administration's policies; against trump's relationship with putin; for reproductive rights; for women's rights,0,Abortion
against US support for Israel; against US Representative Brittany Pettersen; against Attourney General Phil Weiser; for palestinian liberation,0,Gaza
against President Trump adminstration's immigrant policy; for immigrant rights; for Texas A&M University to protect immigrant students,0,Immigration
for higher pay for Ohio State University healthcare workers; for increased staffing at the University's medical center,0,"Healthcare, Workers"
"against the approved plan of construction for 1,100 new homes in rural Alva; for environmental protection",0,Environment
in commemoration of International Women's Day,0,
against the trump administration; for womens rights,0,Trump
against President Trump's immigrant deportation policies; against anti-immigration raids at schools,0,Immigration
against the killing of Alejandro Campos Rios by Fullerton PD,0,
in commemoration of International WomenÃÂ¢ÃÂÃÂs Day; for women's rights; against the Trump adminstration's policies,0,Abortion
against President Trump's mass layoffs of federal employees; against President Trump's cuts to the Department of Education; for funding for higher education; against cuts to DEI,0,Trump
in commemoration of international women's day; for womens rights,0,
against the Memphis Police Department violating civil rights; for police reform,0,
against expulsion of three Barnard students; for Palestinian liberation; against Israel's war on Gaza,0,Gaza
in commemoration of international women's day; for medicaid; for reproduction rights,0,Healthcare
for Palestinian liberation; in solidarity with Palestinian women; for LGBTQ rights,0,"Gaza, LGBTplus"
for democracy; for women's rights; against President Trump; for reproductive rights; against the overturning of Roe v. Wade,0,Abortion
againt layoffs of federal workers; against Trump; against Musk; against DOGE,0,"Musk/DOGE, Workers"
against Trump; for human rights; against dictatorship; for democracy; in solidarity with Ukraine,0,Trump
against viewing party of Trump's public address inside the Ella's at the Airport restaurant; against President Trump; for democracy,0,Trump
in commemoration of International WomenÃÂ¢ÃÂÃÂs Day; against the Trump adminstration's policies; for women's rights; for voting rights; for reproductive freedom,0,Abortion
for immigrant protections; in solidarity with immigrant students; against the Woodburn School Board's vote to reject a resolution affirming Oregon's sanctuary laws,0,Immigration
for an increase in Maryland's minimum wage to $20 per hour,0,Workers
in commemoration of international womens day; for womens rights,0,
for reinstating queer shows at the Kennedy Center; for trans rights; for LGBTQ+ rights,0,LGBTplus
for immigrant protections; for immigrant rights; for Boston as a sanctuary city,0,Immigration
against white supremacy; against neo-Nazis,0,
against the proposed closure of the Poughkeepsie Social Security Administration Office; for social services,0,
for Palestinian liberation; against Prime Minister Netanyahu,0,Gaza
"against the Trump adminstration's policies; against oligarchy; against cuts to Medicaid, housing, education, nutrition and other social programs",0,Healthcare
for women's rights; for reproductive rights; against President Trump; for democracy; for Trans rights,0,"Abortion, LGBTplus"
against President Trump; against president Trump's Ukraine policies; against Trump Administration's proposed cuts to Veterans Affairs; against the Trump Administration's efforts to reduce the size of the federal workforce; against President Trump's environmental policies; for democracy,0,Environment
"in solidarity with immigrants; against xenophobia, anti-Palestinian, anti-Arab, and Islamophobia",0,"Gaza, Immigration"
against Trump; for democracy; against Project 2025,0,Trump
against Trump; for democracy; against monarchy; in solidarity with Ukraine,0,Musk/DOGE
for womens rights; for LGBTQ+ rights; for immigration rights,0,"Immigration, LGBTplus"
for Boston University divesting from companies participating in human rights violations in the Middle East; for Palestinian liberation,0,Gaza
against the Trump adminstration's policies; against DOGE; for democracy; for civil rights,0,Trump
for palestinian liberation; against Chevron doing business in Israel,0,Gaza
against Rep. Anna Paulina Luna supporting President Trump cutting aid to Ukraine; against President Trump cutting aid to Ukraine; for a ceasefire in Ukraine; for democracy,0,Trump
against Trump; against Fascism,0,Trump
for womens rights; in commemoration of international womens day; against the Trump administration,0,Trump
for womens rights; for civil rights,0,
against Trump ; against Project 2025; for democracy; for Medicaid; for Social Security,0,Healthcare
against ICE potentially being allowed in schools; for immigrant rights,0,Immigration
for town hall meetings with Ben Cline; for Medicaid; for school funding; for national forests,0,Healthcare
against Trump; for Ukraine; for Medicaid,0,Healthcare
against Trump; for human rights; against dictatorship; for democracy,0,Trump
for ceasefire in Gaza; in solidarity with the people of Gaza; for hostage exchange,0,Gaza
against Trump; against fascism,0,Trump
against President Trump; for the Constitution; against oligarchy; for democracy,0,Trump
in commemoration of International Women's Day; for womens rights; for reproductive rights,0,Abortion
for women's rights; for the Equal Rights Amendment,0,Abortion
"against the Trump adminstration's policies; for women's rights; for voting rights; for reproductive freedom; for education, for healthcare",0,"Abortion, Healthcare"
against Trump; for democracy; in solidarity with Ukraine,0,Trump
against Trump; against fascism; for the Constitution,0,Trump
against doge; against federal government cuts; against elon musk,0,Musk/DOGE
against polluting industries; for renewable energy; for environmental justice,0,Environment
in commemoration of International Women's day; for womens rights; against the Trump administration,0,Trump
in commemoration of International Women's Day; against the Trump administration; against federal layoffs,0,Trump
in commemoration of International Women's Day; for women's rights; against President Trump's policies,0,Abortion
for reproductive rights; against trump administration policies,0,Abortion
in commemoration of International Women's Day; for women's rights; against President Trump,0,Abortion
for the protection of reproductive rights; against discrimination and sexual violence against women and the LGBTQ+ community; in commemoration of International Women's day,0,"Abortion, LGBTplus"
in support of fired National Institute of Health employees; against federal cuts,0,
for Palestinian liberation; against Harvard Business School's invitation to Naftali Bennett to hold a talk; against Harvard's alleged violation of its neutrality policy,0,Gaza
in commemoration of International Women's Day; against President Trump; against President Trump's foreign policy toward Ukraine; for reproductive rights; for Trans rights; for democracy; against Project 2025; for palestinian liberation; for women's right; against cuts to federal spending on scientific research and services,0,"Abortion, Gaza, LGBTplus"
in commemoration of International Women's day; for womens rights,0,
for women's rights; for reproductive rights; against President Trump; for democracy,0,Abortion
against Elon Musk's involvement in government,0,Musk/DOGE
in solidarity with Ukraine; for democracy,0,
in commemoration of International Women's Day; for women's rights; against President Trump; for reproductive rights; for workers rights,0,"Abortion, Workers"
against the trump administration,0,Trump
against Elon Musk; against DOGE; against government worker layoffs; against funding cuts,0,"Musk/DOGE, Workers"
against President Trump; Against Elon Musk; Against Tesla; for immigrants' rights; for women's rights; for LGBTQ rights; for Trans rights;,0,"Abortion, Immigration, LGBTplus, Musk/DOGE"
against President Trump; for women's rights; for abortion access,0,Abortion
against tesla; against elon musk; for democracy,0,Musk/DOGE
against the Trump adminstration's policies; for immigrants' rights; for reproductive rights; for climate protection;,0,"Abortion, Environment, Immigration"
for abortion rights; in solidarity with Ukraine; against DOGE; against social security cuts,0,Abortion
for ceasefire in Gaza; for Palestinian liberation; for women's rights; in commemoration of International Women's Day; against President Trump; against cuts to funding for veterans,0,"Abortion, Gaza, Musk/DOGE"
for womens rights; against the trump administration,0,Trump
in commemoration of International Women's Day; for women's rights; against the Trump adminstration's policies,0,Abortion
in commemoration of International Women's Day; for women's rights; against President Trump's policies; for education funding; against DEI program cuts; for LGBTQ+ rights; for reproductive rights,0,"Abortion, LGBTplus"
against President Trump's targeting of higher education and research; for scientific research; against censorship; for DEI,0,Trump
against musk's involvement in DOGE; against federal job cuts,0,Musk/DOGE
in commemoration of International Women's Day; for women's rights; against President Trump; for abortion access; for LGBTQ rights; for Native American rights,0,"Abortion, LGBTplus"
for women's rights; against President Trump,0,Abortion
against the Trump administration; against Elon Musk's involvement in the Trump administration; for democracy,0,Musk/DOGE
in commemoration of International Women's Day; for women's rights; against President Trump; for abortion access; for LGBTQ rights; for Palestinian liberation; in solidarity with Palistinian women,0,"Abortion, Gaza, LGBTplus"
against DOGE; against federal government cuts,0,
against the Trump administration; against federal cuts; for womens rights,0,Trump
against Trump's cutting off of aid to Ukraine; for freedom for Ukraine; for a ceasefire in Ukraine; against Elon Musk's involvement in the Trump administration; against DOGE,0,Musk/DOGE
in solidarity with Palestine,0,Gaza
against JOB; against federal worker layoffs,0,Workers
against the vandalism of Palestine flag; for  Palestinian liberation,0,Gaza
in support of legislative bills that allows Illinois physicians assistants to act in medical emergencies; for removing restrictions of physicians assistants; for improving access to healthcare,0,Healthcare
against the Trump administration's proposed budget cuts to Medicaid and healthcare; for access to healthcare; for funding for healthcare,0,"Healthcare, Musk/DOGE"
against President Trump's recent cuts to national parks employees,0,Musk/DOGE
for increased salary and safeguards for employees' futures for Brandeis University library union staff,0,Workers
in support of the reinstatement of former National Labor Relations Board chair Gwynne Wilcox; against Trump's firing of Gwynne Wilcox; for democracy,0,Workers
for Representative Dave Rouzer to take action against the President Trump Adminstration; against Elon Musk's involvement in the federal government,0,Musk/DOGE
for Palestinian liberation; against censorship on Depaul University campus,0,Gaza
